2025-12-05 16:11:53,240 | WARNING  | ai_core      | No ML model found. Using dummy predictor.
2025-12-05 16:11:58,484 | WARNING  | ai_core      | openai package not installed. AI optimizer disabled.
2025-12-05 16:11:58,484 | INFO     | trade_manager | [INIT] Loaded strategy: scalper
2025-12-05 16:11:58,485 | INFO     | trade_manager | [INIT] Loaded strategy: super_scalper
2025-12-05 16:11:58,485 | INFO     | deriv_connection | DerivConnection initialized: Demo=True, AppID=111074
2025-12-05 16:11:58,485 | INFO     | deriv_connection | Connection state: disconnected → connecting Starting connection...
2025-12-05 16:11:58,927 | INFO     | websocket    | Websocket connected
2025-12-05 16:11:58,928 | INFO     | deriv_connection | Demo mode - skipping authentication
2025-12-05 16:11:58,928 | INFO     | deriv_connection | Connection state: connecting → authenticated Demo mode
2025-12-05 16:13:22,740 | INFO     | MT5Bridge    | Sending to GitHub: BUY R_100 @ 97.89329487671895
2025-12-05 16:13:23,579 | INFO     | MT5Bridge    | MT5 BRIDGE → SUCCESS! signals.json updated
2025-12-05 16:13:23,580 | INFO     | QUANTUMTRADER | MT5 SIGNAL → BUY R_100 | test | conf:95%
2025-12-05 16:33:56,628 | INFO     | MT5Bridge    | Sending to GitHub: BUY R_100 @ 97.89329487671895
2025-12-05 16:33:57,322 | INFO     | MT5Bridge    | MT5 BRIDGE → SUCCESS! signals.json updated
2025-12-05 16:33:57,322 | INFO     | QUANTUMTRADER | MT5 SIGNAL → BUY R_100 | test | conf:95%
