datetime,open,high,low,close
2025-08-16 06:00:00,1182.24,1182.34,1177.63,1178.59
2025-08-16 06:05:00,1178.77,1186.63,1178.49,1185.9
2025-08-16 06:10:00,1186.14,1190.09,1185.95,1188.83
2025-08-16 06:15:00,1189.05,1189.94,1186.91,1188.57
2025-08-16 06:20:00,1188.49,1188.49,1184.35,1186.65
2025-08-16 06:25:00,1186.33,1188.58,1185.99,1188.58
2025-08-16 06:30:00,1187.99,1191.61,1186.09,1186.09
2025-08-16 06:35:00,1185.84,1188.57,1184.04,1186.54
2025-08-16 06:40:00,1186.19,1187.44,1181.63,1181.63
2025-08-16 06:45:00,1182.2,1182.57,1177.32,1178.12
2025-08-16 06:50:00,1178.22,1178.46,1173.69,1174.72
2025-08-16 06:55:00,1174.92,1174.92,1170.92,1171.78
2025-08-16 07:00:00,1171.98,1173.19,1166.95,1167.12
2025-08-16 07:05:00,1167.01,1168.34,1163.51,1165.01
2025-08-16 07:10:00,1164.99,1167.71,1163.32,1165.23
2025-08-16 07:15:00,1165.54,1166.3,1162.32,1162.32
2025-08-16 07:20:00,1162.29,1162.29,1156.08,1156.63
2025-08-16 07:25:00,1156.41,1164.35,1156.05,1164.2
2025-08-16 07:30:00,1164.55,1169.05,1163.88,1168.15
2025-08-16 07:35:00,1168.37,1170.66,1167.29,1168.93
2025-08-16 07:40:00,1168.75,1172.8,1167.88,1169.8
2025-08-16 07:45:00,1169.33,1173.8,1168.24,1172.51
2025-08-16 07:50:00,1172.64,1175.24,1171.64,1171.86
2025-08-16 07:55:00,1171.96,1172.92,1168.13,1171.84
2025-08-16 08:00:00,1172.24,1177.98,1172.24,1176.22
2025-08-16 08:05:00,1176.52,1182.81,1175.77,1181.95
2025-08-16 08:10:00,1181.97,1186.31,1181.59,1185.71
2025-08-16 08:15:00,1185.85,1193.32,1183.21,1192.94
2025-08-16 08:20:00,1192.62,1194.34,1189.01,1189.19
2025-08-16 08:25:00,1189.38,1192.35,1182.85,1184.97
